Ticker,Ad,Kategori,TEFAS_Kind,Tur,Risk_Deger,Son_Fiyat,RSI,Ret1M,Ret3M,Ret6M,Ret1Y,Ret3Y,Ret5Y,Vol,YF_Symbol,_tcmb_guncellendi
ORC,ASTRA PORTFÖY ALFA SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,7.0,1.458106,54.8,-1.483,1.15,25.5964,38.1012,0.0,0.0,42.0,,
OSD,OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,TEFAS,YAT,Borçlanma Araçları Şemsiye Fonu,1.0,13.185789,59.9,3.2176,10.1529,21.64,50.9797,2.596,4.5805,3.0,,
OSL,OSMANLI PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,TEFAS,YAT,Borçlanma Araçları Şemsiye Fonu,2.0,0.144745,59.2,2.9129,9.1619,20.046,48.2854,2.2639,3.6411,7.0,,
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,6.0,6.658168,60.4,-1.2548,-11.3411,32.8399,98.0994,3.9859,0.0,33.0,,
OTK,OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,7.843358,58.7,2.8187,9.2831,18.5033,44.6267,187.0753,3.5343,18.0,,
OTM,AZİMUT PORTFÖY OTOMOTİV SEKTÖRÜ DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,6.0,1.274001,52.8,-0.6531,-3.2958,8.2824,27.9311,0.0,0.0,33.0,,
OUD,OSMANLI PORTFÖY ATLANTİK SERBEST (DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,63.671062,54.4,1.063,3.1316,9.3219,25.7392,2.0827,6.357,18.0,,
OVD,QNB PORTFÖY EMTİA FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,6.0,3.128911,62.2,3.2371,14.3714,35.6595,61.8522,2.3916,0.0,33.0,,
P1A,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,2.0,1.405253,53.2,3.3254,10.4136,22.9618,0.0,0.0,0.0,7.0,,
PAB,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) FONU,TEFAS,YAT,Para Piyasası Şemsiye Fonu,1.0,1.302163,53.1,3.1889,10.0481,21.7479,0.0,0.0,0.0,3.0,,
PAF,PARDUS PORTFÖY ALTIN FONU,TEFAS,YAT,Kıymetli Madenler Şemsiye Fonu,6.0,3.218803,54.8,-1.3114,-9.97,11.9363,54.0914,0.0,0.0,33.0,,
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,54.532841,54.6,1.9772,5.0132,9.5297,22.0574,158.4515,5.3554,18.0,,
PAO,PARDUS PORTFÖY ANADOLU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TEFAS,YAT,Serbest Şemsiye Fonu,6.0,1.188692,50.0,-8.7302,-2.6846,12.5799,25.6693,0.0,0.0,33.0,,
PBI,PARDUS PORTFÖY BİRİNCİ FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,4.0,2.097338,61.9,2.0914,11.1933,33.4839,67.0679,0.0,0.0,18.0,,
PBK,ASTRA PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,6.0,55.838403,53.7,0.2983,2.5835,8.3901,23.4914,176.7468,5.7081,33.0,,
PBN,PİRAMİT PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TEFAS,YAT,Serbest Şemsiye Fonu,7.0,1.312687,56.5,2.7786,3.3023,13.17,36.6113,0.0,0.0,42.0,,
PBR,PUSULA PORTFÖY BİRİNCİ DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,4.0,4.613261,74.7,4.1537,30.9771,87.3236,128.7066,0.0,0.0,18.0,,
PCE,PARDUS PORTFÖY İNCİ SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,1.203413,52.7,2.5406,9.3635,19.1237,0.0,0.0,0.0,18.0,,
PDD,ASTRA PORTFÖY KATILIM FONU,TEFAS,YAT,Katılım Şemsiye Fonu,3.0,5.596667,58.0,2.9087,8.5581,18.0816,39.7032,2.3998,4.2205,12.0,,
PDF,ASTRA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,6.0,57.33694,54.0,1.0169,2.824,8.644,23.1954,178.7655,5.3046,33.0,,
PEA,PERFORM PORTFÖY ALTIN FONU,TEFAS,YAT,Kıymetli Madenler Şemsiye Fonu,6.0,1.335654,47.9,-1.0032,-9.0103,14.7414,0.0,0.0,0.0,33.0,,
PFO,PHİLLİP PORTFÖY FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,4.0,2.246956,56.2,-0.0761,-2.5118,20.0593,50.741,0.0,0.0,18.0,,
PFS,ATLAS PORTFÖY FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,4.0,2.807704,60.0,4.7858,7.6097,23.583,51.706,0.0,0.0,18.0,,
PGD,ASTRA PORTFÖY AGRESİF DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,2.0,1.694436,59.4,4.9951,10.599,19.8751,42.3336,0.0,0.0,7.0,,
PGS,AZİMUT PORTFÖY PAY GERİ ALIMI YAPAN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YO,TEFAS,YAT,Hisse Senedi Şemsiye Fonu,6.0,1.279611,56.0,5.5159,-1.2109,22.4606,33.2469,0.0,0.0,33.0,,
